SN,Setting1,Setting2,Setting3,Setting4,Setting5,BDate,FileDate,TUT,Hrs/Day,NormDist x Values,NormDist y Values
11136000002750,0.000586187,0.00599035,0.17916103,0.04372428,0.77053777,4/7/2016,11/9/2016,726.4461111,3.36317644,329.8076923,0.001583962
11136000002753,0.001452415,0.857715159,0.127682879,0.003315817,0.00982974,8/12/2015,10/11/2016,139.2316667,0.326834898,332.9487179,0.001599676
11136000002767,0.00220796,0.022799905,0.015114676,0.93875631,0.02111821,8/12/2015,7/10/2016,94.48138889,0.283727895,336.0897436,0.001615162
11136000002768,0.012430528,0.944636815,0.020938163,1.75325E-05,0.021972579,8/12/2015,9/21/2017,63.37444444,0.082197723,339.2307692,0.001630412
11136000002787,0.311688399,0.645033548,0.042260377,3.02986E-05,0.000986981,8/13/2015,10/20/2016,1402.706111,3.232041731,342.3717949,0.001645416
11136000002788,0.004140414,0.247068706,0.728210028,0.005754153,0.014827645,8/13/2015,12/5/2016,293.3147222,0.611072338,345.5128205,0.001660165
11136000002791,0.003582391,0.226760183,0.744664186,0.003598295,0.021402898,8/13/2015,5/10/2018,69.86333333,0.06979354,348.6538462,0.001674649
11136000002802,0.000428486,0.378561347,0.616718834,5.82694E-05,0.004232475,8/13/2015,5/10/2018,471.9461111,0.471474636,351.7948718,0.001688859
11136000002816,0.00270395,0.960232516,0.025700526,0.008457659,0.002905902,8/14/2015,10/11/2016,502.0433333,1.184064465,354.9358974,0.001702786
11136000002836,0.028989678,0.463846161,0.362392541,0.120259188,0.024513138,8/17/2015,1/5/2018,392.8505556,0.450516692,358.0769231,0.001716421
11136000002840,0.00761485,0.227073399,0.058321239,0.033524932,0.673464956,8/17/2015,12/29/2017,445.1827778,0.514662171,361.2179487,0.001729755
11136000002841,7.49624E-07,0.098152453,0.545429808,0.3384765,0.01794024,8/17/2015,7/13/2017,1111.669167,1.597225814,364.3589744,0.00174278
11136000002847,0.004404972,0.586708436,0.399879596,0.000512026,0.008493419,8/17/2015,11/26/2017,179.0275,0.215177284,367.5,0.001755487
11136000002859,0.001873917,0.012233616,0.419371856,0.027214035,0.539306001,8/17/2015,6/16/2016,483.3902778,1.590099598,370.6410256,0.001767867
